Line Item,Q1 2025,Q2 2025,Q3 2025,Q4 2025,YTD 2025
Revenue - Consulting Fees,380000,420000,465000,510000,1775000
Revenue - Advisory Services,95000,108000,122000,138000,463000
Revenue - Training Programs,45000,52000,58000,65000,220000
Total Revenue,520000,580000,645000,713000,2458000
Cost of Services,125000,138000,152000,168000,583000
Gross Profit,395000,442000,493000,545000,1875000
Operating Expenses - Partner Compensation,180000,195000,210000,225000,810000
Operating Expenses - Associate Salaries,95000,102000,110000,118000,425000
Operating Expenses - Marketing,22000,28000,35000,42000,127000
Operating Expenses - Office Rent,35000,35000,35000,35000,140000
Operating Expenses - Professional Development,8000,10000,12000,14000,44000
Operating Expenses - Technology,12000,13500,15000,16500,57000
Operating Expenses - Travel,18000,22000,26000,30000,96000
Operating Expenses - Insurance,15000,15000,15000,15000,60000
Operating Expenses - Other,8000,9500,11000,12500,41000
Total Operating Expenses,393000,430000,469000,508000,1800000
Operating Income,2000,12000,24000,37000,75000
Interest Income,1200,1400,1600,1800,6000
Net Income Before Tax,3200,13400,25600,38800,81000
Income Tax,800,3350,6400,9700,20250
Net Income,2400,10050,19200,29100,60750
