Line Item,Q1 2025,Q2 2025,Q3 2025,Q4 2025,YTD 2025
Revenue - Product Sales,450000,485000,520000,580000,2035000
Revenue - Online Sales,120000,145000,168000,195000,628000
Revenue - Wholesale,85000,92000,98000,105000,380000
Total Revenue,655000,722000,786000,880000,3043000
Cost of Goods Sold,295000,318000,342000,378000,1333000
Gross Profit,360000,404000,444000,502000,1710000
Operating Expenses - Salaries,145000,152000,158000,165000,620000
Operating Expenses - Marketing,28000,35000,42000,52000,157000
Operating Expenses - Rent,25000,25000,25000,25000,100000
Operating Expenses - Inventory Storage,8500,9200,9800,10500,38000
Operating Expenses - Shipping,22000,24000,26000,29000,101000
Operating Expenses - Utilities,6800,7200,7600,8000,29600
Operating Expenses - Insurance,9500,9500,9500,9500,38000
Operating Expenses - Other,12200,14100,16400,18800,61500
Total Operating Expenses,257000,276000,294400,317800,1145200
Operating Income,103000,128000,149600,184200,564800
Interest Expense,3200,3000,2800,2600,11600
Other Income,1500,1800,2200,2500,8000
Net Income Before Tax,101300,126800,149000,184100,561200
Income Tax,25325,31700,37250,46025,140300
Net Income,75975,95100,111750,138075,420900
